workerid,proliferate.condition,helper1,helper2,query,requester,response,stimulus,trial_index,trial_num,trial_type,error
35,Default,,,,,0,"<p><b>Consent Form</b></p> <div style=""text-align:left;background-color:lightblue; padding:20px; max-width:900px;""><p><b>Description:</b> Welcome! You are invited to participate in a research study in cognitive psychology. You will be asked to perform various tasks on a computer which may include: looking at images or videos, listening to sounds, reading scenarios, or playing games. You may be asked a number of different questions about making judgments and intepreting people’s actions. All information collected will remain confidential. <p><p><b>Risks and benefits:</b> Risks involved in this study are the same as those normally associated with using a computer (e.g., mild eye/arm strain). If you have any pre-existing conditions that might make reading and completing a computer-based survey strenuous for you, you should probably elect to not participate in this study. If at any time during the study you feel unable to participate because you are experiencing strain, you may end your participation without penalty. We cannot and do not guarantee or promise that you will receive any benefits from this study. Your decision whether or not to participate in this study will not affect your employment, medical care, and/or grades in school. </p><p><b>Time involvement:</b> Your participation in this experiment will take 15 minutes. </p><p><b> Payment: </b> If recruitment materials indicate payment (e.g., Amazon or other recruitment), you will receive compensation as indicated. </p><p><b>Subject's rights: </b> If you have read this notice and have decided to participate in this project, please understand your participation is voluntary and you have the right to withdraw your consent or discontinue participation at any time without penalty or loss of benefits to which you are otherwise entitled. You have the right to refuse to answer particular questions. Your individual privacy will be maintained in all published and written data resulting from the study. </p><p><b>Contact information: </b> If you have any questions, concerns or complaints about this research study, its procedures, or risks and benefits, you should ask the Protocol Director, (Professor Tobias Gerstenberg, Phone: (650) 725-2431; Email: gerstenberg@stanford.edu). </p><p><b>Independent contact: </b>I f you are not satisfied with how this study is being conducted, or if you have any concerns, complaints, or general questions about the research or your rights as a participant, please contact the Stanford Institutional Review Board (IRB) to speak to someone independent of the research team via email at irb2-manager@lists.stanford.edu, or via phone at (650) 723-2480 or toll free at 1-866-680-2906. You can also write to the Stanford IRB, Stanford University, 3000 El Camino Real, Five Palo Alto Square, 4th Floor, Palo Alto, CA 94306. </p><p>You may want to print a copy of this consent form to keep. By clicking the button below, you acknowledge that you have read the above information, that you are 18 years of age, or older and give your consent to participate in our internet-based study and consent for us to analyze the resulting data. </p> </div><p> Do you agree with the terms of the experiment as explained above? </p>",0,,html-button-response,
35,Default,,,,,0,"<div style=""width:50%; min-width:300px; margin:auto; min-height:300px; display:flex; align-items:flex-end;""><p> In this experiment, you will read a few stories. For each story, you will be asked to figure out a missing piece of information <br> <br> Click the start button whenever you are ready. <br> </div>",1,,html-button-response,
35,Default,"{'name': 'Matthew', 'gender': 'male'}","{'name': 'Amanda', 'gender': 'female'}",1,"{'name': 'Linda', 'gender': 'female'}",0,"<img src=""images/noun_acting_2368308.png"" style=""max-width:200px""></img><p><span style=""color:#E65100"">Linda</span> needed help practicing for the school play. <br> <span style=""color:#E65100"">Linda</span> asked <span style=""color:#1976D2"">Matthew</span> and <span style=""color:#388E3C"">Amanda</span> for help, but both said no. <br></p><p><span style=""color:#E65100"">Linda</span> blamed <span style=""color:#1976D2"">Matthew</span> more than <span style=""color:#388E3C"">Amanda</span> for not helping.</p><p>Who is <span style=""color:#E65100"">Linda</span>'s less close friend?</p>",2,9,social_roles,
35,Default,"{'name': 'Ashley', 'gender': 'female'}","{'name': 'Jessica', 'gender': 'female'}",1,"{'name': 'Robert', 'gender': 'male'}",0,"<img src=""images/noun_flat tire_982179.png"" style=""max-width:200px""></img><p><span style=""color:#E65100"">Robert</span> needed help fixing his flat tire. <br> <span style=""color:#E65100"">Robert</span> asked <span style=""color:#1976D2"">Ashley</span> and <span style=""color:#388E3C"">Jessica</span> for help, but neither did. <br> <span style=""color:#E65100"">Robert</span> didn't manage to fix the tire by himself.</p><p><span style=""color:#E65100"">Robert</span> blamed <span style=""color:#1976D2"">Ashley</span> more than <span style=""color:#388E3C"">Jessica</span> for not helping.</p><p>Who is worse at fixing tires?</p>",3,1,ability,
35,Default,"{'name': 'James', 'gender': 'male'}","{'name': 'Margaret', 'gender': 'female'}",0,"{'name': 'David', 'gender': 'male'}",1,"<img src=""images/noun_birthday party_3315880.png"" style=""max-width:200px""></img><p><span style=""color:#1976D2"">James</span> and <span style=""color:#388E3C"">Margaret</span> each had a birthday party in separate weeks. <br> Neither invited <span style=""color:#E65100"">David</span> to the party. <br> <span style=""color:#E65100"">David</span> later learned from a friend that one of them intentionally didn't invite him, and another forgot to invite him. <br></p><p><span style=""color:#E65100"">David</span> blamed <span style=""color:#1976D2"">James</span> more than <span style=""color:#388E3C"">Margaret</span> for not inviting him to his birthday party.</p><p>Who intentionally didn't invite <span style=""color:#E65100"">David</span>?</p>",4,12,intentionality,
35,Default,"{'name': 'Steven', 'gender': 'male'}","{'name': 'Anthony', 'gender': 'male'}",0,"{'name': 'Dorothy', 'gender': 'female'}",0,"<img src=""images/noun_reach_2900937.png"" style=""max-width:200px""></img><p><span style=""color:#E65100"">Dorothy</span> needed help reaching something on a high shelf. <br> <span style=""color:#E65100"">Dorothy</span> asked <span style=""color:#1976D2"">Steven</span> and <span style=""color:#388E3C"">Anthony</span> for help, but both said no. <br> <span style=""color:#E65100"">Dorothy</span> wasn’t able to reach the item.</p><p><span style=""color:#E65100"">Dorothy</span> blamed <span style=""color:#1976D2"">Steven</span> more than <span style=""color:#388E3C"">Anthony</span> for not helping.</p><p>Who is taller?</p>",5,3,ability,
35,Default,"{'name': 'Donna', 'gender': 'female'}","{'name': 'Andrew', 'gender': 'male'}",0,"{'name': 'Nancy', 'gender': 'female'}",0,"<img src=""images/noun_wait phone_769182.png"" style=""max-width:200px""></img><p><span style=""color:#E65100"">Nancy</span> needed someone to make an appointment for her. <br> <span style=""color:#E65100"">Nancy</span> asked <span style=""color:#1976D2"">Donna</span> and <span style=""color:#388E3C"">Andrew</span> to call and wait on hold for her. <br> <span style=""color:#1976D2"">Donna</span> and <span style=""color:#388E3C"">Andrew</span> both gave up before their call was picked up. <br> <span style=""color:#E65100"">Nancy</span> later learned that one of them waited for a few minutes, and another waited for hours. <br></p><p><span style=""color:#E65100"">Nancy</span> blamed <span style=""color:#1976D2"">Donna</span> more than <span style=""color:#388E3C"">Andrew</span> for hanging up.</p><p>Who waited for hours before giving up?</p>",6,15,effort,
35,Default,"{'name': 'Emily', 'gender': 'female'}","{'name': 'Carol', 'gender': 'female'}",1,"{'name': 'Deborah', 'gender': 'female'}",0,"<img src=""images/noun_presentation_1616165.png"" style=""max-width:200px""></img><p><span style=""color:#E65100"">Deborah</span> was assigned to do a group project with <span style=""color:#1976D2"">Emily</span> and <span style=""color:#388E3C"">Carol</span>. <br> Their group did a bad job and received a failing grade for the assignment. <br> </p><p><span style=""color:#E65100"">Deborah</span> blamed <span style=""color:#1976D2"">Emily</span> more than <span style=""color:#388E3C"">Carol</span> for the group's failing grade.</p><p>Who didn't try very hard on the assignment?</p>",7,14,effort,
35,Default,"{'name': 'William', 'gender': 'male'}","{'name': 'Charles', 'gender': 'male'}",1,"{'name': 'Edward', 'gender': 'male'}",1,"<img src=""images/noun_Mover Services_1917486.png"" style=""max-width:200px""></img><p><span style=""color:#E65100"">Edward</span> needed help carrying a very heavy couch. <br> <span style=""color:#E65100"">Edward</span> asked <span style=""color:#1976D2"">William</span> and <span style=""color:#388E3C"">Charles</span> for help, but both said no. <br> <span style=""color:#E65100"">Edward</span> wasn’t able to move the couch on his own.</p><p><span style=""color:#E65100"">Edward</span> blamed <span style=""color:#1976D2"">William</span> more than <span style=""color:#388E3C"">Charles</span> for not helping.</p><p>Who is weaker?</p>",8,2,ability,
35,Default,"{'name': 'Richard', 'gender': 'male'}","{'name': 'Joshua', 'gender': 'male'}",0,"{'name': 'Barbara', 'gender': 'female'}",0,"<img src=""images/noun_Man Cutting Grass_637630.png"" style=""max-width:200px""></img><p><span style=""color:#E65100"">Barbara</span> needed someone to mow the lawn. <br> <span style=""color:#1976D2"">Richard</span> mowed the lawn. <br> <span style=""color:#388E3C"">Joshua</span> did not mow the lawn. <br></p><p><span style=""color:#E65100"">Barbara</span> blamed <span style=""color:#388E3C"">Joshua</span> for not mowing the lawn.</p><p>Who mowed the lawn?</p>",9,attention_check,,
35,Default,"{'name': 'Michelle', 'gender': 'female'}","{'name': 'Mary', 'gender': 'female'}",1,"{'name': 'Mark', 'gender': 'male'}",0,"<img src=""images/noun_We Can Do It_146922.png"" style=""max-width:200px""></img><p><span style=""color:#E65100"">Mark</span> was on a tug of war team with <span style=""color:#1976D2"">Michelle</span> and <span style=""color:#388E3C"">Mary</span>. <br> Their team lost the game of tug of war. <br> </p><p><span style=""color:#E65100"">Mark</span> blamed <span style=""color:#1976D2"">Michelle</span> more than <span style=""color:#388E3C"">Mary</span> for their loss.</p><p>Who didn't try very hard?</p>",10,13,effort,
35,Default,"{'name': 'George', 'gender': 'male'}","{'name': 'Sandra', 'gender': 'female'}",1,"{'name': 'Joseph', 'gender': 'male'}",1,"<img src=""images/noun_cooking_1176750.png"" style=""max-width:200px""></img><p><span style=""color:#E65100"">Joseph</span> needed help making dinner. <br> Neither <span style=""color:#1976D2"">George</span> nor <span style=""color:#388E3C"">Sandra</span> helped. <br></p><p><span style=""color:#E65100"">Joseph</span> blamed <span style=""color:#1976D2"">George</span> more than <span style=""color:#388E3C"">Sandra</span> for not helping.</p><p>Who didn't know that <span style=""color:#E65100"">Joseph</span> needed help making dinner?</p>",11,6,knowledge,
35,Default,"{'name': 'Donald', 'gender': 'male'}","{'name': 'Brian', 'gender': 'male'}",0,"{'name': 'Sarah', 'gender': 'female'}",0,"<img src=""images/noun_Picnic_2799323.png"" style=""max-width:200px""></img><p><span style=""color:#1976D2"">Donald</span>, <span style=""color:#388E3C"">Brian</span>, and <span style=""color:#E65100"">Sarah</span> were having a picnic. <br> Both <span style=""color:#1976D2"">Donald</span> and <span style=""color:#388E3C"">Brian</span> brought snacks with peanuts in them, even though <span style=""color:#E65100"">Sarah</span> was allergic to peanuts. <br></p><p><span style=""color:#E65100"">Sarah</span> blamed <span style=""color:#1976D2"">Donald</span> more than <span style=""color:#388E3C"">Brian</span> for bringing snacks with peanuts to the picnic.</p><p>Who knew that <span style=""color:#E65100"">Sarah</span> was allergic to peanuts?</p>",12,5,knowledge,
