workerid,proliferate.condition,helper1,helper2,query,requester,response,stimulus,trial_index,trial_num,trial_type,error
3,Default,,,,,0,"<p><b>Consent Form</b></p> <div style=""text-align:left;background-color:lightblue; padding:20px; max-width:900px;""><p><b>Description:</b> Welcome! You are invited to participate in a research study in cognitive psychology. You will be asked to perform various tasks on a computer which may include: looking at images or videos, listening to sounds, reading scenarios, or playing games. You may be asked a number of different questions about making judgments and intepreting people’s actions. All information collected will remain confidential. <p><p><b>Risks and benefits:</b> Risks involved in this study are the same as those normally associated with using a computer (e.g., mild eye/arm strain). If you have any pre-existing conditions that might make reading and completing a computer-based survey strenuous for you, you should probably elect to not participate in this study. If at any time during the study you feel unable to participate because you are experiencing strain, you may end your participation without penalty. We cannot and do not guarantee or promise that you will receive any benefits from this study. Your decision whether or not to participate in this study will not affect your employment, medical care, and/or grades in school. </p><p><b>Time involvement:</b> Your participation in this experiment will take 15 minutes. </p><p><b> Payment: </b> If recruitment materials indicate payment (e.g., Amazon or other recruitment), you will receive compensation as indicated. </p><p><b>Subject's rights: </b> If you have read this notice and have decided to participate in this project, please understand your participation is voluntary and you have the right to withdraw your consent or discontinue participation at any time without penalty or loss of benefits to which you are otherwise entitled. You have the right to refuse to answer particular questions. Your individual privacy will be maintained in all published and written data resulting from the study. </p><p><b>Contact information: </b> If you have any questions, concerns or complaints about this research study, its procedures, or risks and benefits, you should ask the Protocol Director, (Professor Tobias Gerstenberg, Phone: (650) 725-2431; Email: gerstenberg@stanford.edu). </p><p><b>Independent contact: </b>I f you are not satisfied with how this study is being conducted, or if you have any concerns, complaints, or general questions about the research or your rights as a participant, please contact the Stanford Institutional Review Board (IRB) to speak to someone independent of the research team via email at irb2-manager@lists.stanford.edu, or via phone at (650) 723-2480 or toll free at 1-866-680-2906. You can also write to the Stanford IRB, Stanford University, 3000 El Camino Real, Five Palo Alto Square, 4th Floor, Palo Alto, CA 94306. </p><p>You may want to print a copy of this consent form to keep. By clicking the button below, you acknowledge that you have read the above information, that you are 18 years of age, or older and give your consent to participate in our internet-based study and consent for us to analyze the resulting data. </p> </div><p> Do you agree with the terms of the experiment as explained above? </p>",0,,html-button-response,
3,Default,,,,,0,"<div style=""width:50%; min-width:300px; margin:auto; min-height:300px; display:flex; align-items:flex-end;""><p> In this experiment, you will read a few stories. For each story, you will be asked to figure out a missing piece of information <br> <br> Click the start button whenever you are ready. <br> </div>",1,,html-button-response,
3,Default,"{'name': 'Kenneth', 'gender': 'male'}","{'name': 'Robert', 'gender': 'male'}",1,"{'name': 'Andrew', 'gender': 'male'}",0,"<img src=""images/noun_soccer_1751392.png"" style=""max-width:200px""></img><p><span style=""color:#E65100"">Andrew</span> fell over while playing soccer with <span style=""color:#1976D2"">Kenneth</span> and <span style=""color:#388E3C"">Robert</span>. <br> Both <span style=""color:#1976D2"">Kenneth</span> and <span style=""color:#388E3C"">Robert</span> stepped on <span style=""color:#E65100"">Andrew</span>. <br></p><p><span style=""color:#E65100"">Andrew</span> blamed <span style=""color:#1976D2"">Kenneth</span> more than <span style=""color:#388E3C"">Robert</span> for stepping on him.</p><p>Who stepped on <span style=""color:#E65100"">Andrew</span> by accident?</p>",2,10,intentionality,
3,Default,"{'name': 'David', 'gender': 'male'}","{'name': 'Brian', 'gender': 'male'}",1,"{'name': 'Carol', 'gender': 'female'}",1,"<img src=""images/noun_Airport_1109705.png"" style=""max-width:200px""></img><p><span style=""color:#E65100"">Carol</span> texted <span style=""color:#1976D2"">David</span> and <span style=""color:#388E3C"">Brian</span> to pick her up from the airport. <br> Neither responded to her text. <br> <span style=""color:#E65100"">Carol</span> later learned that only one of them saw her message.</p><p><span style=""color:#E65100"">Carol</span> blamed <span style=""color:#1976D2"">David</span> more than <span style=""color:#388E3C"">Brian</span> for not helping.</p><p>Who didn't see the text message?</p>",3,4,knowledge,
3,Default,"{'name': 'Jennifer', 'gender': 'female'}","{'name': 'Dorothy', 'gender': 'female'}",0,"{'name': 'Kimberly', 'gender': 'female'}",0,"<img src=""images/noun_Mover Services_1917486.png"" style=""max-width:200px""></img><p><span style=""color:#E65100"">Kimberly</span> needed help moving. <br> <span style=""color:#E65100"">Kimberly</span> asked <span style=""color:#1976D2"">Jennifer</span> and <span style=""color:#388E3C"">Dorothy</span> for help, but both said no. <br> <span style=""color:#E65100"">Kimberly</span> wasn't able to move her stuff on her own. <br></p><p><span style=""color:#E65100"">Kimberly</span> blamed <span style=""color:#1976D2"">Jennifer</span> more than <span style=""color:#388E3C"">Dorothy</span> for not helping.</p><p>Who is <span style=""color:#E65100"">Kimberly</span>'s closer friend?</p>",4,8,social_roles,
3,Default,"{'name': 'Ashley', 'gender': 'female'}","{'name': 'Emily', 'gender': 'female'}",1,"{'name': 'Amanda', 'gender': 'female'}",0,"<img src=""images/noun_presentation_1616165.png"" style=""max-width:200px""></img><p><span style=""color:#E65100"">Amanda</span> was assigned to do a group project with <span style=""color:#1976D2"">Ashley</span> and <span style=""color:#388E3C"">Emily</span>. <br> Their group did a bad job and received a failing grade for the assignment. <br> </p><p><span style=""color:#E65100"">Amanda</span> blamed <span style=""color:#1976D2"">Ashley</span> more than <span style=""color:#388E3C"">Emily</span> for the group's failing grade.</p><p>Who didn't try very hard on the assignment?</p>",5,14,effort,
3,Default,"{'name': 'Donald', 'gender': 'male'}","{'name': 'John', 'gender': 'male'}",0,"{'name': 'Kevin', 'gender': 'male'}",0,"<img src=""images/noun_reach_2900937.png"" style=""max-width:200px""></img><p><span style=""color:#E65100"">Kevin</span> needed help reaching something on a high shelf. <br> <span style=""color:#E65100"">Kevin</span> asked <span style=""color:#1976D2"">Donald</span> and <span style=""color:#388E3C"">John</span> for help, but both said no. <br> <span style=""color:#E65100"">Kevin</span> wasn’t able to reach the item.</p><p><span style=""color:#E65100"">Kevin</span> blamed <span style=""color:#1976D2"">Donald</span> more than <span style=""color:#388E3C"">John</span> for not helping.</p><p>Who is taller?</p>",6,3,ability,
3,Default,"{'name': 'Joshua', 'gender': 'male'}","{'name': 'George', 'gender': 'male'}",0,"{'name': 'William', 'gender': 'male'}",0,"<img src=""images/noun_birthday party_3315880.png"" style=""max-width:200px""></img><p><span style=""color:#E65100"">William</span> had a birthday party. <br> <span style=""color:#E65100"">William</span> asked <span style=""color:#1976D2"">Joshua</span> and <span style=""color:#388E3C"">George</span> to come, but neither came. <br></p><p><span style=""color:#E65100"">William</span> blamed <span style=""color:#1976D2"">Joshua</span> more than <span style=""color:#388E3C"">George</span> for not coming.</p><p>Who is <span style=""color:#E65100"">William</span>'s closer friend?</p>",7,7,social_roles,
3,Default,"{'name': 'Sarah', 'gender': 'female'}","{'name': 'Barbara', 'gender': 'female'}",1,"{'name': 'Betty', 'gender': 'female'}",1,"<img src=""images/noun_birthday party_3315880.png"" style=""max-width:200px""></img><p><span style=""color:#1976D2"">Sarah</span> and <span style=""color:#388E3C"">Barbara</span> each had a birthday party in separate weeks. <br> Neither invited <span style=""color:#E65100"">Betty</span> to the party. <br> <span style=""color:#E65100"">Betty</span> later learned from a friend that one of them intentionally didn't invite her, and another forgot to invite her. <br></p><p><span style=""color:#E65100"">Betty</span> blamed <span style=""color:#1976D2"">Sarah</span> more than <span style=""color:#388E3C"">Barbara</span> for not inviting her to her birthday party.</p><p>Who forgot to invite <span style=""color:#E65100"">Betty</span>?</p>",8,12,intentionality,
3,Default,"{'name': 'Anthony', 'gender': 'male'}","{'name': 'Karen', 'gender': 'female'}",0,"{'name': 'Matthew', 'gender': 'male'}",0,"<img src=""images/noun_Man Cutting Grass_637630.png"" style=""max-width:200px""></img><p><span style=""color:#E65100"">Matthew</span> needed someone to mow the lawn. <br> <span style=""color:#1976D2"">Anthony</span> mowed the lawn. <br> <span style=""color:#388E3C"">Karen</span> did not mow the lawn. <br></p><p><span style=""color:#E65100"">Matthew</span> blamed <span style=""color:#388E3C"">Karen</span> for not mowing the lawn.</p><p>Who mowed the lawn?</p>",9,attention_check,,
